YEAR,STATE,ANSI,1000ACRES_PLANTED,1000ACRES_HARVESTED
2012,Connecticut,9,85,80
2012,Delaware,10,496,483
2012,Florida,12,1204,1180
2012,Georgia,13,3815,3480
2012,Hawaii,15,17,17
2012,Idaho,16,4404,4260
2012,Illinois,17,23158,22680
2012,Indiana,18,12395,12275
2012,Iowa,19,24838,24546
2012,Kansas,20,23622,22320
2012,Kentucky,21,6177,6027
2012,Louisiana,22,3600,3559
2012,Maine,23,264,256
2012,Maryland,24,1552,1422
2012,Massachusetts,25,89,86
2012,Michigan,26,6652,6570
2012,Minnesota,27,20009,19755
2012,Mississippi,28,4615,4545
2012,Missouri,29,14074,13725
2012,Montana,30,9192,8863
2012,Nebraska,31,19551,18896
2012,Nevada,32,456,441
2012,New Hampshire,33,66,65
2012,New Jersey,34,331,322
2012,New Mexico,35,1024,604
