,stationTriplet,latitude,longitude,huc
1157,1163:UT:SNTL,40.88472,-110.54056,140401070302
1170,910:WA:SNTL,48.69092,-121.90893,171100040401
1180,921:NM:SNTL,35.7073,-105.80584,130202010102
1183,1316:MT:SNTL,46.47617,-110.72148,100301030104
1184,536:MT:SNTLT,46.47642,-110.72065,100301030104
1186,1323:UT:SNTL,37.82308,-109.77156,140802010402
1190,1252:CO:SNTL,40.79637,-107.10113,140500010601
1195,1120:CO:SNTL,39.8638,-106.42473,140100020602
1197,1332:AK:SNTL,61.24777,-149.82331,190204010404
1200,1325:CO:SNTL,37.40563,-106.64136,130100020302
1229,1071:AK:SNTL,60.798,-148.0857,190202011605
1242,1092:AK:SNTL,60.18957,-149.6228,190202020508
1264,1054:UT:SNTL,40.992,-111.81702,160201020502
1280,1268:AK:SNTL,63.2026,-145.63442,190803040302
1282,1314:OR:SNTL,45.35265,-121.53,170701050503
1285,1274:OR:SNTLT,42.45988,-120.78508,180102020402
1287,1305:ID:SNTL,43.55545,-113.71931,170402210401
1298,1149:UT:SNTL,38.50455,-111.76693,140700030108
1307,1320:OR:SNTLT,44.14063,-118.325,170501161104
1324,1285:AK:SNTL,59.39617,-136.28123,190103031206
1331,1186:CO:SNTL,39.86866,-105.86765,140100010203
1335,1049:CA:SNTL,38.68245,-119.9597,160502010301
1349,1121:AZ:SNTL,35.26773,-111.74479,150200150102
1352,961:AK:SNTL,66.5705,-145.24553,190705062100
1372,1277:CA:SNTL,40.68799,-120.60805,180800030304
1385,641:AK:SNTL,61.74699,-149.26769,190205051202
1389,1262:NV:SNTL,41.58008,-115.9364,160401020101
1399,429:AK:SNTL,64.69662,-156.71497,190902051104
1407,1114:UT:SNTL,41.9215,-111.4693,160102010106
1411,1066:UT:SNTL,37.40083,-113.45988,150100080701
1414,1173:NM:SNTL,36.00469,-106.54805,130202020201
1417,1221:UT:SNTL,39.32019,-111.48827,160300040307
1418,1222:UT:SNTL,39.30229,-111.45383,160300040307
1424,1151:UT:SNTL,41.91562,-113.41154,170402100401
1427,945:OR:SNTL,42.2062,-121.1334,180102040508
1454,1057:CO:SNTL,38.87602,-105.07605,110200030201
1460,962:AK:SNTL,66.745,-150.6675,190901020403
1461,1195:NV:SNTL,40.88358,-117.58812,160401080102
1462,1159:WA:SNTL,48.9516,-118.9864,170200021204
1463,1304:UT:SNTL,38.46516,-109.26332,140300050401
1468,1256:WA:SNTL,48.19253,-118.45715,170200011601
1479,1184:UT:SNTL,38.7882,-111.68892,160300030405
1484,1250:OR:SNTLT,42.04308,-118.3195,171200090201
1497,1082:WY:SNTL,43.77933,-110.92783,170402040202
1522,501:WY:SNTL,43.46643,-107.23977,100902010103
1527,1058:CO:SNTL,37.47051,-106.5379,130100020101
1580,2222:AK:SNTL,62.40962,-145.37513,190201020605
1591,944:WY:SNTL,43.38332,-109.87815,170401020102
1592,1065:UT:SNTL,37.49617,-113.94235,150100100101
1614,969:AZ:SNTL,34.74594,-111.41219,150602020604
1617,896:UT:SNTL,40.86833,-111.71865,160201020105
1625,1218:OR:SNTLT,42.47964,-119.71908,171200080501
1633,1271:AZ:SNTL,33.97121,-109.76531,150601020106
1636,1102:CO:SNTL,38.29303,-105.85027,130100030301
1649,1270:AK:SNTL,58.69652,-134.86448,190103010401
1661,1193:UT:SNTLT,40.86313,-110.38145,140401060201
1673,988:ID:SNTL,48.89368,-116.75743,170101040502
1678,1187:CO:SNTL,40.0359,-105.75472,140100010205
1697,1223:UT:SNTL,40.18538,-111.35971,160202020304
1720,1318:AK:SNTL,58.12411,-135.413,190102110906
1727,1050:CA:SNTL,38.83652,-119.88732,160502010302
1732,1264:AK:SNTLT,62.13501,-147.62282,190205011406
1738,1122:CO:SNTL,40.57717,-105.62584,101900070101
1742,1158:OR:SNTL,42.215,-122.3713,180102060401
1747,2210:AK:SNTL,65.19405,-156.64113,190901091201
1748,991:WA:SNTL,48.98075,-121.07976,171100050602
